,mkt
2015-03-05,0.001195365251036089
2015-03-06,-0.014275356362467066
2015-03-09,0.003936662357975969
2015-03-10,-0.017106820937141425
2015-03-11,-0.001919520676484767
2015-03-12,0.012522702206037068
2015-03-13,-0.006093237090196838
2015-03-16,0.013442909023855906
2015-03-17,-0.0033256977077820026
2015-03-18,0.012085101501628708
2015-03-19,-0.004884489126950175
2015-03-20,0.008972382193259682
2015-03-23,-0.0017472566067133015
2015-03-24,-0.006158345701590925
2015-03-25,-0.014665926527239062
2015-03-26,-0.0023803307374738966
2015-03-27,0.0023657607295033602
2015-03-30,0.012162382647149434
2015-03-31,-0.008834686217530795
2015-04-01,-0.0039732542018475255
2015-04-02,0.0035234523037141535
2015-04-06,0.006587072647165644
2015-04-07,-0.002064032708587167
2015-04-08,0.0026789415573472003
2015-04-09,0.004447575873625805
2015-04-10,0.005189376899456221
2015-04-13,-0.004591806820961145
2015-04-14,0.00162843225851382
2015-04-15,0.005134989044995592
2015-04-16,-0.0007787467579851993
2015-04-17,-0.01137570418905323
2015-04-20,0.009192748586536723
2015-04-21,-0.001481702504767951
2015-04-22,0.005074582853386292
2015-04-23,0.0023549408425523675
2015-04-24,0.0022502668247534868
2015-04-27,-0.004149913240734652
2015-04-28,0.0027654044373465075
2015-04-29,-0.003747348127573222
2015-04-30,-0.010180553033248205
2015-05-01,0.010863776563455257
2015-05-04,0.0029364331477630206
2015-05-05,-0.0119080033585301
2015-05-06,-0.004465681140931977
2015-05-07,0.003766710469475405
2015-05-08,0.013368147987361164
2015-05-11,-0.005102556456082039
2015-05-12,-0.002953996439367266
2015-05-13,-0.0003050012906516677
2015-05-14,0.010721604261760033
2015-05-15,0.0007681188278664758
2015-05-18,0.003043312472570502
2015-05-19,-0.0006435815978420154
2015-05-20,-0.0009309494507940488
2015-05-21,0.0023351459087448084
2015-05-22,-0.0022363851494835974
2015-05-26,-0.010335204907502334
2015-05-27,0.009120918929110081
2015-05-28,-0.0012675639174870542
2015-05-29,-0.006338515184097658
2015-06-01,0.002057343499147661
2015-06-02,-0.0010091051653478204
2015-06-03,0.0021166294697559994
2015-06-04,-0.008660562215101069
2015-06-05,-0.0014372152327325357
2015-06-08,-0.006495560338305542
2015-06-09,0.00041826551900276467
2015-06-10,0.011970491752514406
2015-06-11,0.0017371167565281324
2015-06-12,-0.007018874653102703
2015-06-15,-0.004633289621771348
2015-06-16,0.005673730515753803
2015-06-17,0.0019776843950728407
2015-06-18,0.009854000054008836
2015-06-19,-0.00531761523794962
2015-06-22,0.006076367981542122
2015-06-23,0.0006356664251933869
2015-06-24,-0.007380465718305258
2015-06-25,-0.0029780041565964136
2015-06-26,-0.00039015574492238484
2015-06-29,-0.02108696950861153
2015-06-30,0.0026549623524674106
2015-07-01,0.006912096434637041
2015-07-02,-0.00030807018954653404
2015-07-06,-0.003869232698897424
2015-07-07,0.006062560593868743
2015-07-08,-0.016792964912141516
2015-07-09,0.0022596476448199895
2015-07-10,0.012262986385007718
2015-07-13,0.011005268507355188
2015-07-14,0.00444327323650017
2015-07-15,-0.0007352563007372865
2015-07-16,0.007982733444475738
2015-07-17,0.00110557162445071
2015-07-20,0.0007709366240016023
2015-07-21,-0.004270796242723094
2015-07-22,-0.00239056502019028
2015-07-23,-0.0056922102113794535
2015-07-24,-0.010761020696661188
2015-07-27,-0.005791755065064178
2015-07-28,0.012310073801889353
2015-07-29,0.007292142927383681
2015-07-30,2.836690402236809e-05
2015-07-31,-0.002274103801051709
2015-08-03,-0.0027606939449045503
2015-08-04,-0.0022522391669328678
2015-08-05,0.003109838185490679
2015-08-06,-0.007783195922562142
2015-08-07,-0.0028790228563377145
2015-08-10,0.012726835632025084
2015-08-11,-0.00960306468018227
2015-08-12,0.0009496036382146948
2015-08-13,-0.0012760258683812036
2015-08-14,0.0039043322743591373
2015-08-17,0.005197891709402951
2015-08-18,-0.0026289829356331003
2015-08-19,-0.008289136409597112
2015-08-20,-0.021325960454146156
2015-08-21,-0.03236924252187817
2015-08-24,-0.04021144434651928
2015-08-25,-0.013614249742655897
2015-08-26,0.03829129943453164
2015-08-27,0.02400725448969004
2015-08-28,0.0006085511568762156
2015-08-31,-0.008427078663984055
2015-09-01,-0.030022649842427997
2015-09-02,0.01812767142321464
2015-09-03,0.0011641156994188924
2015-09-04,-0.015448308754276238
2015-09-08,0.024773637197038505
2015-09-09,-0.013995035769084717
2015-09-10,0.005264075444935658
2015-09-11,0.004477006444986281
2015-09-14,-0.00409804122304381
2015-09-15,0.01274968763143236
2015-09-16,0.0086677407153759
2015-09-17,-0.002564344442560099
2015-09-18,-0.01629623095438354
2015-09-21,0.004555392033672697
2015-09-22,-0.012394930019378313
2015-09-23,-0.002050744229593947
2015-09-24,-0.00336865187130644
2015-09-25,-0.00046590180122054944
2015-09-28,-0.026001211162809106
2015-09-29,0.001232093912981713
2015-09-30,0.01889589860356512
2015-10-01,0.001971938678337173
2015-10-02,0.014213793016405511
2015-10-05,0.018124593518502156
2015-10-06,-0.0035946893441432997
2015-10-07,0.008003519857552759
2015-10-08,0.008779780144558488
2015-10-09,0.0007248485605153577
2015-10-13,-0.005574159212794325
2015-10-14,-0.0047274309119391435
2015-10-15,0.014743551351355088
2015-10-16,0.004560061373697022
2015-10-19,0.0002705089438730595
2015-10-20,-0.0014221010558937615
2015-10-21,-0.005842448911134253
2015-10-22,0.016490847012594123
2015-10-23,0.010969953969042788
2015-10-26,-0.0019149330011001104
2015-10-27,-0.00255738586508774
2015-10-28,0.011770488488143476
2015-10-29,-0.00044987538066072313
2015-10-30,-0.004821481688425431
2015-11-02,0.011803876338814608
2015-11-03,0.0027243529250675206
2015-11-04,-0.003551666939647187
2015-11-05,-0.0011327897564983025
2015-11-06,-0.00034768178002366065
2015-11-09,-0.009871290656502512
2015-11-10,0.0015094551534496445
